group,variable,value,Gene Annotation
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,18,intronic
rs12737739,LNG.EMB.LUNG,17,intronic
rs12737739,LNG.LUNG,13,intronic
rs12737739,LNG.LUNG,18,intronic
rs12737739,LVR.EMB.LIVER,17,intronic
rs12737739,LVR.EMB.LIVER,18,intronic
rs12737739,LVR.HEPATIC.STELLATE,17,intronic
rs12737739,LVR.HEPATOCYTE,6,intronic
rs12737739,LVR.LIVER,18,intronic
rs12737739,LVR.LIVER,17,intronic
rs12737739,LVR.LIVER,17,intronic
rs12737739,LVR.LIVER,18,intronic
rs12737739,LVR.LIVER,17,intronic
rs12737739,LVR.LIVER,18,intronic
rs12737739,MSC.ADIPOCYTE,17,intronic
rs12737739,MSC.AMN.FLD,17,intronic
rs12737739,MSC.EMB.FCL.PROM,18,intronic
rs12737739,MSC.MESENC.STEM,16,intronic
rs12737739,MUSC.CARDIAC.MYOCYTE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,18,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.ARM.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.BACK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,17,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.LEG.MUSCLE,18,intronic
rs12737739,MUSC.EMB.TRUNK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.TRUNK.MUSCLE,17,intronic
rs12737739,MUSC.EMB.TRUNK.MUSCLE,18,intronic
rs12737739,MUSC.EMB.TRUNK.MUSCLE,18,intronic
rs12737739,MUSC.GASTR.MED,18,intronic
rs12737739,MUSC.GASTR.MED,17,intronic
rs12737739,MUSC.GASTR.MED,17,intronic
rs12737739,MUSC.GASTR.MED,17,intronic
rs12737739,MUSC.PSOAS.MUSCLE,17,intronic
rs12737739,MUSC.PSOAS.MUSCLE,6,intronic
rs12737739,MUSC.PSOAS.MUSCLE,17,intronic
rs12737739,MUSC.PSOAS.MUSCLE,17,intronic
rs12737739,MUSC.SKELETAL.MUSCLE,17,intronic
rs12737739,MUSC.SKELETAL.MUSCLE,17,intronic
rs12737739,MUSC.SKELETAL.MUSCLE,17,intronic
rs12737739,MUSC.SKELETAL.MUSCLE.CELL,17,intronic
rs12737739,MYO.MYOCYTE,17,intronic
rs12737739,MYO.MYOTUBE,17,intronic
rs12737739,MYO.SKLT.MYOBLAST,17,intronic
rs12737739,MYO.SKLT.MYOBLAST,17,intronic
rs12737739,MYO.SKLT.MYOBLAST,17,intronic
rs12737739,MYO.SKLT.SATELLITE,17,intronic
rs12737739,NSPH.NEUROSPHERE,17,intronic
rs12737739,NSPH.NEUROSPHERE,17,intronic
rs12737739,NSPH.NEUROSPHERE,17,intronic
rs12737739,NSPH.OLF.NEUROSPHERE,18,intronic
rs12737739,OTHR.BREAST.EPITH,18,intronic
rs12737739,OTHR.BREAST.EPITH,18,intronic
rs12737739,OTHR.EMB.LIMB,18,intronic
rs12737739,OTHR.EMB.LIMB,6,intronic
rs12737739,OTHR.EPID.MELANOCYTE,18,intronic
rs12737739,OTHR.FRSKN.MELANOCYTE,17,intronic
rs12737739,OTHR.MMRY.STEM,17,intronic
rs12737739,PANC.BODY.PANCREAS,18,intronic
rs12737739,PANC.BODY.PANCREAS,18,intronic
rs12737739,PANC.BODY.PANCREAS,18,intronic
rs12737739,PANC.BODY.PANCREAS,18,intronic
rs12737739,PANC.EMB.ISLT.PREC,18,intronic
rs12737739,PANC.PANCREAS,18,intronic
rs12737739,PANC.PANCREAS,17,intronic
rs12737739,PCTA.AMNION,18,intronic
rs12737739,PCTA.AMNION.STEM,17,intronic
rs12737739,PCTA.CHORION,6,intronic
rs12737739,PCTA.CHORION,17,intronic
rs12737739,PCTA.CHORION,17,intronic
rs12737739,PCTA.CHORIONIC.VILL,17,intronic
rs12737739,PCTA.CHORIONIC.VILL,18,intronic
rs12737739,PCTA.CHORIONIC.VILL,17,intronic
rs12737739,PCTA.CHORIONIC.VILL,17,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,6,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,18,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.PLACENTA,17,intronic
rs12737739,PCTA.TROPHOBLAST,18,intronic
rs12737739,PNS.SPINAL.CRD,18,intronic
rs12737739,PNS.SPINAL.CRD,17,intronic
rs12737739,PNS.SPINAL.CRD,18,intronic
rs12737739,PNS.SPINAL.CRD,17,intronic
rs12737739,PNS.SPINAL.CRD,18,intronic
rs12737739,PNS.SPINAL.CRD,17,intronic
rs12737739,PNS.SPINAL.CRD,17,intronic
rs12737739,REPR.PROSTATE.GLD,17,intronic
rs12737739,REPR.PROSTATE.GLD,18,intronic
rs12737739,SMTH.BRN.VASC.SMTH.MUSC,17,intronic
rs12737739,SMTH.COLON.MUSCLE,17,intronic
rs12737739,SMTH.COLON.MUSCLE,18,intronic
rs12737739,SMTH.DUOD.MUSCLE,18,intronic
rs12737739,SMTH.DUOD.MUSCLE,17,intronic
rs12737739,SMTH.RECT.MUSCLE,17,intronic
rs12737739,SPLN.EMB.SPLEEN,17,intronic
rs12737739,SPLN.SPLEEN,18,intronic
rs12737739,SPLN.SPLEEN,18,intronic
rs12737739,SPLN.SPLEEN,13,intronic
rs12737739,SPLN.SPLEEN,17,intronic
rs12737739,SPLN.SPLEEN,17,intronic
rs12737739,STRM.AORTA.FIBR,17,intronic
rs12737739,STRM.BREAST.FIBR,17,intronic
rs12737739,STRM.BREAST.FIBR,17,intronic
rs12737739,STRM.BRN.PERICYTE,17,intronic
rs12737739,STRM.CARDIAC.FIBR,17,intronic
rs12737739,STRM.CARDIAC.FIBR,17,intronic
rs12737739,STRM.DERMIS.FIBR,17,intronic
rs12737739,STRM.DERMIS.FIBR,17,intronic
rs12737739,STRM.DERMIS.FIBR,17,intronic
rs12737739,STRM.EMB.CARDIAC.FIBR,17,intronic
rs12737739,STRM.EMB.LUNG.FIBR,17,intronic
rs12737739,STRM.EMB.LUNG.FIBR,17,intronic
rs12737739,STRM.EMB.SKIN.FIBR,17,intronic
rs12737739,STRM.EMB.SKIN.FIBR,17,intronic
rs12737739,STRM.EMB.SKIN.FIBR,17,intronic
rs12737739,STRM.EYE.CJCT.FIBR,17,intronic
rs12737739,STRM.FRSKN.FIBR,17,intronic
rs12737739,STRM.FRSKN.FIBR,17,intronic
rs12737739,STRM.GINGVL.FIBR,17,intronic
rs12737739,STRM.GINGVL.FIBR,17,intronic
rs12737739,STRM.LUNG.FIBR,18,intronic
rs12737739,STRM.LUNG.FIBR,17,intronic
rs12737739,STRM.LUNG.FIBR,17,intronic
rs12737739,STRM.LUNG.FIBR,17,intronic
rs12737739,STRM.LUNG.PULM.ATY.FIBR,17,intronic
rs12737739,STRM.MMRY.FIBR,16,intronic
rs12737739,STRM.PERID.LIG.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.SKIN.FIBR,17,intronic
rs12737739,STRM.VILL.MESENCH.FIBR,17,intronic
rs13375202,AD.FATPAD,18,intronic
rs13375202,AD.FATPAD,18,intronic
rs13375202,ADIP.ADCYTE,18,intronic
rs13375202,ADIP.TISSUE,13,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,13,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,17,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD4T,18,intronic
rs13375202,BLD.CD8T,18,intronic
rs13375202,BLD.CD8T,18,intronic
rs13375202,BLD.CD8T,18,intronic
rs13375202,BLD.CD8T,18,intronic
rs13375202,BLD.CD8T,18,intronic
rs13375202,BLD.CD8T,17,intronic
rs13375202,BLD.CD8T,17,intronic
rs13375202,BLD.MONONUC,6,intronic
rs13375202,BLD.MONONUC,18,intronic
rs13375202,BLD.MONONUC,18,intronic
rs13375202,BLD.MONONUC,6,intronic
rs13375202,BLD.MONONUC,18,intronic
rs13375202,BLD.MONONUC,13,intronic
rs13375202,BLD.NAIVET,18,intronic
rs13375202,BLD.NAIVET,17,intronic
rs13375202,BLD.NAIVET,18,intronic
rs13375202,BLD.TREG,18,intronic
rs13375202,BLD.TREG,18,intronic
rs13375202,BLD.TREG,18,intronic
rs13375202,BONE.EMB.ARM,18,intronic
rs13375202,BONE.EMB.FEMUR,18,intronic
rs13375202,BONE.EMB.LEG,18,intronic
rs13375202,BONE.MRW,18,intronic
rs13375202,BONE.OSTBLAST,16,intronic
rs13375202,BRN.AG,18,intronic
rs13375202,BRN.AG,18,intronic
rs13375202,BRN.AMM,18,intronic
rs13375202,BRN.AST,17,intronic
rs13375202,BRN.AST.CRBLLM,17,intronic
rs13375202,BRN.AST.HPC,17,intronic
rs13375202,BRN.AST.SPCORD,17,intronic
rs13375202,BRN.CAUD.NUC,13,intronic
rs13375202,BRN.CAUD.NUC,18,intronic
rs13375202,BRN.CAUD.NUC,17,intronic
rs13375202,BRN.CBR.CTX,18,intronic
rs13375202,BRN.CING.GYR,17,intronic
rs13375202,BRN.CING.GYR,17,intronic
rs13375202,BRN.CRBLLM,18,intronic
rs13375202,BRN.CRBLLM,17,intronic
rs13375202,BRN.EMB.BRN,17,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,17,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,17,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.BRN,17,intronic
rs13375202,BRN.EMB.BRN,18,intronic
rs13375202,BRN.EMB.GERM.MTX,17,intronic
rs13375202,BRN.FTL.CTX,18,intronic
rs13375202,BRN.FTL.CTX,18,intronic
rs13375202,BRN.GLOB.PD,18,intronic
rs13375202,BRN.HPC,17,intronic
rs13375202,BRN.HPC,18,intronic
rs13375202,BRN.HPC,17,intronic
rs13375202,BRN.INF.PAR.CTX,17,intronic
rs13375202,BRN.MED.OBL,18,intronic
rs13375202,BRN.MID.FTL,18,intronic
rs13375202,BRN.MID.FTL,18,intronic
rs13375202,BRN.MID.FTL.GYR,18,intronic
rs13375202,BRN.MIDBRN,17,intronic
rs13375202,BRN.OCC.LB,18,intronic
rs13375202,BRN.PONS,18,intronic
rs13375202,BRN.PTMN,18,intronic
rs13375202,CA.ACC.ACC112,17,intronic
rs13375202,CA.ALL.DND41,17,intronic
rs13375202,CA.ALL.KOPTK1,13,intronic
rs13375202,CA.ALL.LOUCY,18,intronic
rs13375202,CA.APL.HL60,17,intronic
rs13375202,CA.APL.NB4,18,intronic
rs13375202,CA.BCL.DOHH2,17,intronic
rs13375202,CA.BCL.KARPAS422,18,intronic
rs13375202,CA.BCL.OCILY1,17,intronic
rs13375202,CA.BCL.OCILY3,17,intronic
rs13375202,CA.BCL.OCILY7,18,intronic
rs13375202,CA.BKTL.NAMALWA,18,intronic
rs13375202,CA.BKTL.NAMALWA,18,intronic
rs13375202,CA.BRCA.MCF7,18,intronic
rs13375202,CA.BRCA.MCF7,18,intronic
rs13375202,CA.BRCA.MCF7,18,intronic
rs13375202,CA.BRCA.MCF7,18,intronic
rs13375202,CA.BRCA.MCF7,18,intronic
rs13375202,CA.CCRCC.CAKI1,18,intronic
rs13375202,CA.CRC.CACO2,18,intronic
rs13375202,CA.CRC.HCT116,18,intronic
rs13375202,CA.CRC.HT29,18,intronic
rs13375202,CA.CRC.LOVO,18,intronic
rs13375202,CA.CRC.RKO,18,intronic
rs13375202,CA.CVX.HELAS3,18,intronic
rs13375202,CA.CVX.HELAS3,18,intronic
rs13375202,CA.CVX.HELAS3.G1B,18,intronic
rs13375202,CA.DESM.MEDBM.DAOY,18,intronic
rs13375202,CA.EWINGSC.A673,17,intronic
rs13375202,CA.FIBROSC.HT1080,18,intronic
rs13375202,CA.GLIOBM.A172,18,intronic
rs13375202,CA.GLIOBM.H54,18,intronic
rs13375202,CA.GLIOBM.M059J,18,intronic
rs13375202,CA.HAPLOID.ML.HAP1,18,intronic
rs13375202,CA.HCC.HEPG2,17,intronic
rs13375202,CA.HCC.HUH7,18,intronic
rs13375202,CA.HCC.HUH75,18,intronic
rs13375202,CA.LUAD.PC9,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.LUEPITH.A549,18,intronic
rs13375202,CA.MEDBM,18,intronic
rs13375202,CA.MELAN.COLO829,18,intronic
rs13375202,CA.MELAN.RPMI7951,17,intronic
rs13375202,CA.MELAN.SKMEL5,18,intronic
rs13375202,CA.ML.CMK,17,intronic
rs13375202,CA.ML.K562,17,intronic
rs13375202,CA.ML.K562,17,intronic
rs13375202,CA.ML.K562,17,intronic
rs13375202,CA.ML.K562,17,intronic
rs13375202,CA.ML.K562.G1,17,intronic
rs13375202,CA.ML.K562.G2,17,intronic
rs13375202,CA.ML.KBM7,18,intronic
rs13375202,CA.MYELOMA.KMS11,17,intronic
rs13375202,CA.MYELOMA.MM1S,16,intronic
rs13375202,CA.MYELOMA.NCIH929,17,intronic
rs13375202,CA.MYELOMA.PC.RPMI8226,17,intronic
rs13375202,CA.NEUROBM.BE2C,18,intronic
rs13375202,CA.NEUROBM.SKNDSH,17,intronic
rs13375202,CA.NEUROBM.SKNDSH,17,intronic
rs13375202,CA.NEUROBM.SKNDZ,18,intronic
rs13375202,CA.NEUROBM.SKNDZ,18,intronic
rs13375202,CA.NEUROEPTH.SKNDMC,18,intronic
rs13375202,CA.NEUROGLIOMA.h4,17,intronic
rs13375202,CA.NSCLC.NCIH460,18,intronic
rs13375202,CA.OSTSARC.MG63,18,intronic
rs13375202,CA.OSTSARC.SJSA1,18,intronic
rs13375202,CA.PAAD.8988T,18,intronic
rs13375202,CA.PANC.DUCT.EPITH.PANC1,13,intronic
rs13375202,CA.PRAD.C42B,18,intronic
rs13375202,CA.PRAD.EPITH.22RV1,18,intronic
rs13375202,CA.PRAD.EPITH.22RV1,18,intronic
rs13375202,CA.PRAD.LNCAP,18,intronic
rs13375202,CA.PRAD.LNCAP,18,intronic
rs13375202,CA.PRAD.PC3,18,intronic
rs13375202,CA.PTHC,18,intronic
rs13375202,CA.PTHC,18,intronic
rs13375202,CA.RCC,18,intronic
rs13375202,CA.RCC.ACHN,18,intronic
rs13375202,CA.RCC.RCC7860,18,intronic
rs13375202,CA.RMS.SJCRH30,18,intronic
rs13375202,CA.RTK.RHABOID.G401,18,intronic
rs13375202,CA.SCC.NCIH226,17,intronic
rs13375202,CA.TSTC.NT2D1,12,intronic
rs13375202,CA.UCEC.ISHIKAWA,18,intronic
rs13375202,CA.UCEC.ISHIKAWA,18,intronic
rs13375202,CA.UCEC.ISHIKAWA,18,intronic
rs13375202,EDCR.ADRENAL.GLD,13,intronic
rs13375202,EDCR.ADRENAL.GLD,18,intronic
rs13375202,EDCR.ADRENAL.GLD,18,intronic
rs13375202,EDCR.ADRENAL.GLD,18,intronic
rs13375202,EDCR.ADRENAL.GLD,18,intronic
rs13375202,EDCR.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,17,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,18,intronic
rs13375202,EDCR.EMB.ADRENAL.GLD,17,intronic
rs13375202,EDCR.ENDOC.PANC,18,intronic
rs13375202,EDCR.ENDOC.PANC,18,intronic
rs13375202,EDCR.ENDOC.PANC,18,intronic
rs13375202,EDCR.ENDOC.PANC,13,intronic
rs13375202,EDCR.REPR.EMB.OVARY,18,intronic
rs13375202,EDCR.REPR.OVARY,18,intronic
rs13375202,EDCR.REPR.OVARY,18,intronic
rs13375202,EDCR.REPR.OVARY,18,intronic
rs13375202,EDTH.BRN.MICV.ENDOTH,17,intronic
rs13375202,EDTH.DERM.BLD.VES.ENDOTH,18,intronic
rs13375202,EDTH.DERM.BLD.VES.ENDOTH,18,intronic
rs13375202,EDTH.DERM.LYMPH.VES.ENDOTH,18,intronic
rs13375202,EDTH.DERM.LYMPH.VES.ENDOTH,18,intronic
rs13375202,EDTH.EMB.KDNY.CAP.ENDOTH,18,intronic
rs13375202,EDTH.GLOM.ENDOTH,18,intronic
rs13375202,EDTH.LNG.ART.ENDOTH,18,intronic
rs13375202,EDTH.LNG.MICV.ENDOTH,18,intronic
rs13375202,EDTH.UBM.VEIN.ENDOTH,17,intronic
rs13375202,EDTH.UBM.VEIN.ENDOTH,17,intronic
rs13375202,EPTH.AMNION.EPITH,18,intronic
rs13375202,EPTH.BREAST.EPITH,18,intronic
rs13375202,EPTH.BREAST.EPITH,18,intronic
rs13375202,EPTH.BREAST.EPITH,18,intronic
rs13375202,EPTH.CHOROID.PLEX.EPITH,17,intronic
rs13375202,EPTH.CILIARY.NONPGMT.EPITH,17,intronic
rs13375202,EPTH.COLON.EPITH,17,intronic
rs13375202,EPTH.EMB.SKIN.BDY,18,intronic
rs13375202,EPTH.ESOPH.EPITH,17,intronic
rs13375202,EPTH.FORESKIN.KRTN,18,intronic
rs13375202,EPTH.FORESKIN.KRTN,18,intronic
rs13375202,EPTH.FORESKIN.KRTN,18,intronic
rs13375202,EPTH.FORESKIN.KRTN,18,intronic
rs13375202,EPTH.GLOM.EPITH,18,intronic
rs13375202,EPTH.GLOM.VISC.EPTIH,18,intronic
rs13375202,EPTH.IRIS.PGMT.EPITH,17,intronic
rs13375202,EPTH.KDNY.EPITH,17,intronic
rs13375202,EPTH.KDNY.TUBULE,18,intronic
rs13375202,EPTH.KDNY.TUBULE,18,intronic
rs13375202,EPTH.KRTN,18,intronic
rs13375202,EPTH.KRTN,18,intronic
rs13375202,EPTH.LNG.BRONHC.EPITH,18,intronic
rs13375202,EPTH.LNG.BRONHC.EPITH,17,intronic
rs13375202,EPTH.MARROW.EPITH,17,intronic
rs13375202,EPTH.MMRY.EPITH,18,intronic
rs13375202,EPTH.MMRY.EPITH,18,intronic
rs13375202,EPTH.MMRY.EPITH,18,intronic
rs13375202,EPTH.MMRY.LMN.EPITH,18,intronic
rs13375202,EPTH.MMRY.MYOEPITH,18,intronic
rs13375202,EPTH.MMRY.MYOEPITH,18,intronic
rs13375202,EPTH.PANC.DUCT.EPITH,18,intronic
rs13375202,EPTH.PROST.EPITH,18,intronic
rs13375202,EPTH.PROST.EPITH,18,intronic
rs13375202,EPTH.PROST.EPITH,18,intronic
rs13375202,EPTH.PROST.EPITH,18,intronic
rs13375202,EPTH.PROX.TUB.EPITH,18,intronic
rs13375202,EPTH.PROX.TUB.EPITH,18,intronic
rs13375202,EPTH.RENAL.CTX.EPITH,18,intronic
rs13375202,EPTH.RETINAL.EPITH,17,intronic
rs13375202,EPTH.SKIN.LEG,18,intronic
rs13375202,EPTH.SKIN.LEG,18,intronic
rs13375202,ESC.ELF1,18,intronic
rs13375202,ESC.ESI3,18,intronic
rs13375202,ESC.H1HESC,13,intronic
rs13375202,ESC.H7HESC,13,intronic
rs13375202,ESC.H9,18,intronic
rs13375202,ESC.HUES48,13,intronic
rs13375202,ESC.HUES6,13,intronic
rs13375202,ESC.HUES64,18,intronic
rs13375202,ESDV.BIPOLAR.NEURON,17,intronic
rs13375202,ESDV.CARD.MESODERM,13,intronic
rs13375202,ESDV.CARD.MUSCLE,18,intronic
rs13375202,ESDV.ECTODERM,18,intronic
rs13375202,ESDV.ENDODERM,18,intronic
rs13375202,ESDV.ENDODERM,17,intronic
rs13375202,ESDV.HEPATOCYTE,18,intronic
rs13375202,ESDV.MESENCH.STEM,13,intronic
rs13375202,ESDV.MESENDODERM,13,intronic
rs13375202,ESDV.MESODERM,17,intronic
rs13375202,ESDV.NEURAL.CELL,18,intronic
rs13375202,ESDV.NEURAL.PROG,18,intronic
rs13375202,ESDV.NEURAL.PROG,13,intronic
rs13375202,ESDV.NEURAL.PROG,18,intronic
rs13375202,ESDV.NEURAL.PROG,17,intronic
rs13375202,ESDV.NEURON,17,intronic
rs13375202,ESDV.SM.MUSCLE,18,intronic
rs13375202,EYE.EMB.EYE,18,intronic
rs13375202,EYE.EMB.EYE,18,intronic
rs13375202,EYE.EMB.RETINA,18,intronic
rs13375202,EYE.EMB.RETINA,18,intronic
rs13375202,EYE.EMB.RETINA,18,intronic
rs13375202,GI.COLON.MUC,18,intronic
rs13375202,GI.COLON.MUC,17,intronic
rs13375202,GI.DUOD.MUC,17,intronic
rs13375202,GI.DUOD.MUC,17,intronic
rs13375202,GI.EMB.LARGE.INT,17,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.LARGE.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,13,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.SMALL.INT,18,intronic
rs13375202,GI.EMB.STOMACH,18,intronic
rs13375202,GI.EMB.STOMACH,17,intronic
rs13375202,GI.EMB.STOMACH,18,intronic
rs13375202,GI.EMB.STOMACH,17,intronic
rs13375202,GI.EMB.STOMACH,18,intronic
rs13375202,GI.EMB.STOMACH,18,intronic
rs13375202,GI.EMB.STOMACH,17,intronic
